word,count
sky,47
limbs,47
darkness,47
reign,47
haply,47
drown,47
brains,47
slander,47
monument,47
debt,47
policy,47
contempt,47
knaves,47
forsooth,47
offended,47
beaten,47
misery,47
undertake,47
dishonour,47
egypt,47
iron,47
killd,47
degree,47
balthasar,47
brabantio,47
fairest,46
creatures,46
everything,46
maiden,46
sought,46
affections,46
mariana,46
season,46
friendship,46
kisses,46
salt,46
hazard,46
cares,46
tread,46
disposition,46
octavius,46
tide,46
cyprus,46
devils,46
hateful,46
phebe,46
liest,46
according,46
shes,46
bishop,46
padua,46
fenton,46
oberon,46
—,46
hill,45
complexion,45
object,45
babe,45
morn,45
dearly,45
greet,45
fiery,45
weeds,45
perhaps,45
birds,45
figure,45
bind,45
except,45
stomach,45
ambition,45
began,45
methought,45
practice,45
parted,45
behalf,45
alexandria,45
custom,45
empress,45
reverence,45
vernon,45
alençon,45
edwards,45
louis,45
ratcliff,45
bassianus,45
language,44
lucrece,44
beauteous,44
barren,44
numbers,44
sins,44
twain,44
entertain,44
dreams,44
nights,44
weight,44
edge,44
appetite,44
line,44
remains,44
strife,44
lean,44
bent,44
felt,44
groans,44
vii,44
brows,44
aim,44
wants,44
attended,44
favours,44
tarry,44
lady’s,44
soothsayer,44
octavia,44
pair,44
silvius,44
odds,44
husbands,44
porter,44
fatal,44
mischief,44
cromwell,44
lodovico,44
perithous,44
fairer,43
store,43
bounty,43
wrought,43
solemn,43
big,43
pleasures,43
for’t,43
render,43
fingers,43
mistake,43
hangs,43
wears,43
native,43
sentence,43
bride,43
violent,43
midnight,43
belike,43
henceforth,43
sooth,43
iras,43
whore,43
perform,43
ist,43
sheep,43
temple,43
pause,43
weapons,43
apt,43
sly,43
england’s,43
humphrey,43
davy,43
gloucester’s,43
countreyman,43
substance,42
willing,42
judgement,42
acquainted,42
hanging,42
abide,42
grieve,42
rotten,42
tame,42
commit,42
profit,42
ignorance,42
ripe,42
vantage,42
revolt,42
betray,42
alike,42
weigh,42
maintain,42
disdain,42
east,42
habit,42
months,42
amongst,42
taking,42
proclaim,42
displeasure,42
surely,42
drums,42
look’d,42
unhappy,42
sweat,42
stroke,42
trade,42
apart,42
sirs,42
nobles,42
hugh,42
salarino,42
perdita,42
feeble,41
defence,41
fierce,41
sell,41
farther,41
length,41
stronger,41
arise,41
confound,41
firm,41
honey,41
suspect,41
thereof,41
wondrous,41
difference,41
sold,41
partly,41
chase,41
commanded,41
virgin,41
advise,41
blown,41
companion,41
deer,41
peril,41
minister,41
afraid,41
clothes,41
places,41
naught,41
hardly,41
weeps,41
dagger,41
villainy,41
received,41
say’st,41
utter,41
sends,41
coz,41
banishment,41
also,41
marks,41
mild,41
lartius,41
hal,41
pembroke,41
faire,41
thinke,41
perish,40
eternal,40
huge,40
pen,40
boast,40
apparel,40
benefit,40
guest,40
groan,40
jealousy,40
acquaintance,40
advance,40
mouths,40
express,40
provide,40
afterwards,40
committed,40
wounded,40
snow,40
cupid,40
impossible,40
minute,40
infinite,40
leg,40
’twill,40
instrument,40
purposes,40
bite,40
staff,40
yond,40
whoreson,40
earnest,40
banishd,40
books,40
north,40
brother’s,40
chorus,40
canterbury,40
peers,40
lovell,40
cinna,40
titania,40
timons,40
start,39
windsor,39
nature’s,39
elder,39
silent,39
written,39
looking,39
physic,39
falsehood,39
grecian,39
ruin,39
fruit,39
accuse,39
gently,39
woeful,39
necessity,39
wishes,39
she’ll,39
rock,39
reward,39
chair,39
kindly,39
slew,39
nobly,39
entertainment,39
dolabella,39
prayer,39
smooth,39
drew,39
isle,39
bleed,39
robin,39
lookd,39
unnatural,39
tremble,39
fort,39
rob,39
month,39
cursed,39
dew,39
milan,39
cleon,39
states,38
lusty,38
used,38
clock,38
stage,38
earthly,38
amiss,38
special,38
tall,38
grew,38
dignity,38
lamb,38
strive,38
tyranny,38
fee,38
senses,38
crying,38
fed,38
physician,38
stays,38
breach,38
passage,38
pour,38
higher,38
bravely,38
serves,38
unworthy,38
delay,38
standing,38
ambitious,38
friendly,38
pieces,38
ladyship,38
glove,38
’s,38
dish,38
troubled,38
slaves,38
avoid,38
adam,38
envious,38
belly,38
passing,38
countrymen,38
virgilia,38
senate,38
twere,38
fairies,38
tut,38
trojan,38
goe,38
whereon,37
height,37
sets,37
possession,37
knit,37
mountain,37
roses,37
league,37
spur,37
sway,37
bell,37
slept,37
familiar,37
lip,37
feeling,37
marvel,37
dramatis,37
wed,37
worn,37
attendant,37
vessel,37
pursue,37
rash,37
angels,37
direct,37
whip,37
hercules,37
temper,37
plays,37
beheld,37
hat,37
circumstance,37
prologue,37
withdraw,37
banish,37
park,37
island,37
pedant,37
4,36
lines,36
beside,36
travel,36
stol’n,36
west,36
fortune’s,36
sour,36
messengers,36
signs,36
willingly,36
graves,36
wolf,36
pleasant,36
bore,36
gait,36
younger,36
steward,36
attempt,36
convey,36
enforce,36
dar’st,36
otherwise,36
ended,36
lent,36
thick,36
damn’d,36
drive,36
nobility,36
heartily,36
pocket,36
cat,36
sink,36
expect,36
miserable,36
purchase,36
senior,36
fright,36
goths,36
breaks,36
hunt,36
humours,36
singing,36
lucilius,36
nathaniel,36
sixth,35
tyre,35
world’s,35
conquest,35
sweetly,35
remove,35
visage,35
space,35
services,35
delivered,35
deserves,35
saucy,35
stern,35
urge,35
hairs,35
rid,35
courtier,35
observe,35
kin,35
fox,35
horn,35
enterprise,35
seize,35
pinch,35
moved,35
thrown,35
notice,35
beasts,35
mount,35
eight,35
gaoler,35
aboard,35
hanged,35
yare,35
calm,35
provided,35
corin,35
scotland,35
ran,35
corn,35
bleeding,35
oh,35
priam,35
robert,35
cranmer,35
titinius,35
athenian,35
duncan,35
lennox,35
fifth,34
inward,34
theirs,34
persuade,34
spread,34
kissing,34
absent,34
bar,34
freedom,34
heart’s,34
seldom,34
siege,34
task,34
offices,34
smiling,34
savage,34
beshrew,34
press,34
directly,34
followed,34
cool,34
reading,34
venture,34
italy,34
whisper,34
stream,34
fields,34
natures,34
hears,34
discover,34
dozen,34
absolute,34
audience,34
jupiter,34
stoop,34
its,34
wept,34
renowned,34
shoulders,34
schoolmaster,34
confusion,34
charm,34
diomed,34
frederick,34
coat,34
subtle,34
womans,34
discharge,34
faithful,34
weather,34
greek,34
parley,34
terror,34
dick,34
publius,34
loyal,34
secure,34
suspicion,34
ursula,34
gardiner,34
montano,34
cerimon,34
dionyza,34
fisherman,34
oth,34
verona,33
couldst,33
pitch,33
trees,33
moment,33
torture,33
daily,33
interest,33
guilt,33
torment,33
shadows,33
banquet,33
share,33
jewels,33
pace,33
ocean,33
suppose,33
learning,33
example,33
petty,33
compass,33
error,33
pomp,33
refuse,33
lying,33
rossillon,33
liv’d,33
continue,33
rate,33
price,33
tricks,33
satisfaction,33
ambassador,33
alexas,33
conference,33
message,33
discretion,33
possess,33
odd,33
boar,33
begun,33
worm,33
audrey,33
access,33
suits,33
wholesome,33
resolve,33
mile,33
curses,33
accept,33
lights,33
fares,33
osric,33
knocking,33
zeal,33
naples,33
leonato’s,33
antigonus,33
check,32
increase,32
forty,32
leads,32
beloved,32
youthful,32
verse,32
toil,32
invention,32
wink,32
deaths,32
veins,32
shown,32
crow,32
praises,32
lesser,32
